P_val 	T_val 	x_val 	y_val 	y_calc	absolute_deviation 	relative_deviation 
0.3880E+00	0.2981E+03	0.4068E+02	0.2190E-02	0.2276E-02	-.8597E-04	-.3926E-01
0.4040E+01	0.2931E+03	0.4068E+02	0.1894E-01	0.1922E-01	-.2755E-03	-.1455E-01
0.2831E+01	0.2931E+03	0.4068E+02	0.1497E-01	0.1505E-01	-.8318E-04	-.5557E-02
0.1167E+01	0.2931E+03	0.4068E+02	0.7200E-02	0.7109E-02	0.9067E-04	0.1259E-01
0.3800E+00	0.2931E+03	0.4068E+02	0.2400E-02	0.2458E-02	-.5848E-04	-.2437E-01
0.4009E+01	0.2881E+03	0.4068E+02	0.2092E-01	0.2088E-01	0.3799E-04	0.1816E-02
0.2802E+01	0.2881E+03	0.4068E+02	0.1669E-01	0.1677E-01	-.8047E-04	-.4821E-02
0.1110E+01	0.2881E+03	0.4068E+02	0.7900E-02	0.7821E-02	0.7901E-04	0.1000E-01
0.3700E+00	0.2881E+03	0.4068E+02	0.2700E-02	0.2738E-02	-.3803E-04	-.1409E-01
0.2780E+01	0.2831E+03	0.4068E+02	0.1893E-01	0.1888E-01	0.4614E-04	0.2438E-02
0.1037E+01	0.2831E+03	0.4068E+02	0.8590E-02	0.8557E-02	0.3311E-04	0.3854E-02
0.3610E+00	0.2831E+03	0.4068E+02	0.3110E-02	0.3128E-02	-.1829E-04	-.5882E-02
0.2763E+01	0.2781E+03	0.4068E+02	0.2142E-01	0.2139E-01	0.3330E-04	0.1555E-02
0.9500E+00	0.2781E+03	0.4068E+02	0.9340E-02	0.9246E-02	0.9393E-04	0.1006E-01
0.3510E+00	0.2781E+03	0.4068E+02	0.3550E-02	0.3608E-02	-.5772E-04	-.1626E-01
0.2749E+01	0.2731E+03	0.4068E+02	0.2415E-01	0.2427E-01	-.1213E-03	-.5024E-02
0.8650E+00	0.2731E+03	0.4068E+02	0.1006E-01	0.9949E-02	0.1109E-03	0.1102E-01
0.3400E+00	0.2731E+03	0.4068E+02	0.4120E-02	0.4166E-02	-.4608E-04	-.1119E-01
0.4501E+01	0.2981E+03	0.4215E+02	0.1921E-01	0.1909E-01	0.1156E-03	0.6019E-02
0.2820E+01	0.2981E+03	0.4215E+02	0.1344E-01	0.1349E-01	-.4966E-04	-.3695E-02
0.1308E+01	0.2981E+03	0.4215E+02	0.7080E-02	0.6947E-02	0.1327E-03	0.1875E-01
0.4130E+00	0.2981E+03	0.4215E+02	0.2370E-02	0.2405E-02	-.3477E-04	-.1467E-01
0.4467E+01	0.2931E+03	0.4215E+02	0.1995E-01	0.2027E-01	-.3197E-03	-.1603E-01
0.2789E+01	0.2931E+03	0.4215E+02	0.1474E-01	0.1482E-01	-.7641E-04	-.5184E-02
0.1282E+01	0.2931E+03	0.4215E+02	0.7790E-02	0.7708E-02	0.8242E-04	0.1058E-01
0.3950E+00	0.2931E+03	0.4215E+02	0.2560E-02	0.2545E-02	0.1486E-04	0.5804E-02
0.4431E+01	0.2881E+03	0.4215E+02	0.2198E-01	0.2178E-01	0.1981E-03	0.9011E-02
0.2757E+01	0.2881E+03	0.4215E+02	0.1643E-01	0.1651E-01	-.7526E-04	-.4580E-02
0.1252E+01	0.2881E+03	0.4215E+02	0.8740E-02	0.8675E-02	0.6458E-04	0.7389E-02
0.3810E+00	0.2881E+03	0.4215E+02	0.2850E-02	0.2809E-02	0.4079E-04	0.1431E-01
0.2722E+01	0.2831E+03	0.4215E+02	0.1858E-01	0.1854E-01	0.3664E-04	0.1972E-02
0.1215E+01	0.2831E+03	0.4215E+02	0.9830E-02	0.9808E-02	0.2200E-04	0.2238E-02
0.3660E+00	0.2831E+03	0.4215E+02	0.3170E-02	0.3159E-02	0.1106E-04	0.3489E-02
0.2683E+01	0.2781E+03	0.4215E+02	0.2091E-01	0.2092E-01	-.9350E-05	-.4471E-03
0.1171E+01	0.2781E+03	0.4215E+02	0.1112E-01	0.1107E-01	0.5022E-04	0.4516E-02
